Strategic Pillar,Category,Strategic Goal,Strategic Program,Q1 Objective,Q2 Objective,Q3 Objective,Q4 Objective,ORD LT Sponsor(s),Sponsor(s)/Lead(s),Reporting owner(s),Q1 Status,Q2 Status,Q3 Status,Q4 Status,Q1 Comments,Q2 Comments,Q3 Comments,Q4 Comments
Pipeline Acceleration,Regulatory Affairs,Enhance CMC readiness,RA-43 Enhance Initiative 43,"In Q1 we will launch the RA-43 Enhance Initiative 43 project in support of the strategic goal to enhance cmc readiness. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Vendor assessments will be completed to decide on any external partnerships needed.",Achieve 50% of planned experiments for RA-43 Enhance Initiative 43.,Complete data analysis phase of RA-43 Enhance Initiative 43.,Submit year‑end review and next‑year plan for RA-43 Enhance Initiative 43.,Dr. Sophia Hernandez,Benjamin Garcia,Noah Thomas,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Regulatory Affairs,Enhance CMC readiness,RA-44 Enhance Initiative 44,"In Q1 we will launch the RA-44 Enhance Initiative 44 project in support of the strategic goal to enhance cmc readiness. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness.",Achieve 50% of planned experiments for RA-44 Enhance Initiative 44.,Complete data analysis phase of RA-44 Enhance Initiative 44.,Submit year‑end review and next‑year plan for RA-44 Enhance Initiative 44.,Dr. Sophia Hernandez,Amelia Jackson,Sophia Johnson,Amber,,,,Minor delays; mitigation plan in place.,,,
Pipeline Acceleration,Digital Trial Innovation,Deploy decentralized trial platform,DTI-45 Deploy Initiative 45,"In Q1 we will launch the DTI-45 Deploy Initiative 45 project in support of the strategic goal to deploy decentralized trial platform. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Vendor assessments will be completed to decide on any external partnerships needed. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.",Achieve 50% of planned experiments for DTI-45 Deploy Initiative 45.,Complete data analysis phase of DTI-45 Deploy Initiative 45.,Submit year‑end review and next‑year plan for DTI-45 Deploy Initiative 45.,Dr. Wei Zhang,Emma Jones,Henry Smith,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Digital Trial Innovation,Deploy decentralized trial platform,DTI-46 Deploy Initiative 46,"In Q1 we will launch the DTI-46 Deploy Initiative 46 project in support of the strategic goal to deploy decentralized trial platform. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.",Achieve 50% of planned experiments for DTI-46 Deploy Initiative 46.,Complete data analysis phase of DTI-46 Deploy Initiative 46.,Submit year‑end review and next‑year plan for DTI-46 Deploy Initiative 46.,Dr. Wei Zhang,Isabella Hernandez,Benjamin Wilson,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Digital Trial Innovation,Deploy decentralized trial platform,DTI-47 Deploy Initiative 47,"In Q1 we will launch the DTI-47 Deploy Initiative 47 project in support of the strategic goal to deploy decentralized trial platform. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. We will set up a dashboard to track milestones and provide transparent real‑time updates. Completion of training for all contributors is also targeted within this timeframe.",Achieve 50% of planned experiments for DTI-47 Deploy Initiative 47.,Complete data analysis phase of DTI-47 Deploy Initiative 47.,Submit year‑end review and next‑year plan for DTI-47 Deploy Initiative 47.,Dr. Wei Zhang,Logan Williams,Benjamin Wilson,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Digital Trial Innovation,Leverage wearables for safety monitoring,DTI-48 Leverage Initiative 48,"In Q1 we will launch the DTI-48 Leverage Initiative 48 project in support of the strategic goal to leverage wearables for safety monitoring. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. We will set up a dashboard to track milestones and provide transparent real‑time updates. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.",Achieve 50% of planned experiments for DTI-48 Leverage Initiative 48.,Complete data analysis phase of DTI-48 Leverage Initiative 48.,Submit year‑end review and next‑year plan for DTI-48 Leverage Initiative 48.,Dr. Wei Zhang,Jacob Johnson,Jacob Brown,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Digital Trial Innovation,Leverage wearables for safety monitoring,DTI-49 Leverage Initiative 49,"In Q1 we will launch the DTI-49 Leverage Initiative 49 project in support of the strategic goal to leverage wearables for safety monitoring. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Vendor assessments will be completed to decide on any external partnerships needed. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.",Achieve 50% of planned experiments for DTI-49 Leverage Initiative 49.,Complete data analysis phase of DTI-49 Leverage Initiative 49.,Submit year‑end review and next‑year plan for DTI-49 Leverage Initiative 49.,Dr. Wei Zhang,Isabella Garcia,Jacob Brown,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Digital Trial Innovation,Leverage wearables for safety monitoring,DTI-50 Leverage Initiative 50,"In Q1 we will launch the DTI-50 Leverage Initiative 50 project in support of the strategic goal to leverage wearables for safety monitoring. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.",Achieve 50% of planned experiments for DTI-50 Leverage Initiative 50.,Complete data analysis phase of DTI-50 Leverage Initiative 50.,Submit year‑end review and next‑year plan for DTI-50 Leverage Initiative 50.,Dr. Wei Zhang,Abigail Martinez,Isabella Williams,Amber,,,,Minor delays; mitigation plan in place.,,,
Pipeline Acceleration,Digital Trial Innovation,Leverage wearables for safety monitoring,DTI-51 Leverage Initiative 51,"In Q1 we will launch the DTI-51 Leverage Initiative 51 project in support of the strategic goal to leverage wearables for safety monitoring. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.",Achieve 50% of planned experiments for DTI-51 Leverage Initiative 51.,Complete data analysis phase of DTI-51 Leverage Initiative 51.,Submit year‑end review and next‑year plan for DTI-51 Leverage Initiative 51.,Dr. Wei Zhang,Amelia Moore,Jacob Brown,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Digital Trial Innovation,Automate data capture workflows,DTI-52 Automate Initiative 52,"In Q1 we will launch the DTI-52 Automate Initiative 52 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.",Achieve 50% of planned experiments for DTI-52 Automate Initiative 52.,Complete data analysis phase of DTI-52 Automate Initiative 52.,Submit year‑end review and next‑year plan for DTI-52 Automate Initiative 52.,Dr. Wei Zhang,Mason Brown,Charlotte Martinez,Green,,,,On track; milestones met.,,,
Pipeline Acceleration,Digital Trial Innovation,Automate data capture workflows,DTI-53 Automate Initiative 53,"In Q1 we will launch the DTI-53 Automate Initiative 53 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Vendor assessments will be completed to decide on any external partnerships needed.",Achieve 50% of planned experiments for DTI-53 Automate Initiative 53.,Complete data analysis phase of DTI-53 Automate Initiative 53.,Submit year‑end review and next‑year plan for DTI-53 Automate Initiative 53.,Dr. Wei Zhang,Lucas Johnson,Charlotte Martinez,Red,,,,Significant risk; exec escalation.,,,
Pipeline Acceleration,Digital Trial Innovation,Automate data capture workflows,DTI-54 Automate Initiative 54,"In Q1 we will launch the DTI-54 Automate Initiative 54 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates.",Achieve 50% of planned experiments for DTI-54 Automate Initiative 54.,Complete data analysis phase of DTI-54 Automate Initiative 54.,Submit year‑end review and next‑year plan for DTI-54 Automate Initiative 54.,Dr. Wei Zhang,Elijah Taylor,Lucas Williams,Amber,,,,Minor delays; mitigation plan in place.,,,
Pipeline Acceleration,Digital Trial Innovation,Automate data capture workflows,DTI-55 Automate Initiative 55,"In Q1 we will launch the DTI-55 Automate Initiative 55 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates.",Achieve 50% of planned experiments for DTI-55 Automate Initiative 55.,Complete data analysis phase of DTI-55 Automate Initiative 55.,Submit year‑end review and next‑year plan for DTI-55 Automate Initiative 55.,Dr. Wei Zhang,Mason Gonzalez,Charlotte Martinez,Green,,,,On track; milestones met.,,,
Patient Engagement,Real‑World Evidence,Build oncology RWE registry,RWE-56 Build Initiative 56,"In Q1 we will launch the RWE-56 Build Initiative 56 project in support of the strategic goal to build oncology rwe registry. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Vendor assessments will be completed to decide on any external partnerships needed. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.",Achieve 50% of planned experiments for RWE-56 Build Initiative 56.,Complete data analysis phase of RWE-56 Build Initiative 56.,Submit year‑end review and next‑year plan for RWE-56 Build Initiative 56.,Dr. Karen Johnson,Mason Wilson,Logan Wilson,Amber,,,,Minor delays; mitigation plan in place.,,,
Patient Engagement,Real‑World Evidence,Build oncology RWE registry,RWE-57 Build Initiative 57,"In Q1 we will launch the RWE-57 Build Initiative 57 project in support of the strategic goal to build oncology rwe registry. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.",Achieve 50% of planned experiments for RWE-57 Build Initiative 57.,Complete data analysis phase of RWE-57 Build Initiative 57.,Submit year‑end review and next‑year plan for RWE-57 Build Initiative 57.,Dr. Karen Johnson,Noah Moore,Elijah Johnson,Amber,,,,Minor delays; mitigation plan in place.,,,
Patient Engagement,Real‑World Evidence,Build oncology RWE registry,RWE-58 Build Initiative 58,"In Q1 we will launch the RWE-58 Build Initiative 58 project in support of the strategic goal to build oncology rwe registry. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.",Achieve 50% of planned experiments for RWE-58 Build Initiative 58.,Complete data analysis phase of RWE-58 Build Initiative 58.,Submit year‑end review and next‑year plan for RWE-58 Build Initiative 58.,Dr. Karen Johnson,James Hernandez,Elijah Johnson,Green,,,,On track; milestones met.,,,
Patient Engagement,Real‑World Evidence,Generate comparative effectiveness studies,RWE-59 Generate Initiative 59,In Q1 we will launch the RWE-59 Generate Initiative 59 project in support of the strategic goal to generate comparative effectiveness studies. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for RWE-59 Generate Initiative 59.,Complete data analysis phase of RWE-59 Generate Initiative 59.,Submit year‑end review and next‑year plan for RWE-59 Generate Initiative 59.,Dr. Karen Johnson,Noah Thomas,Evelyn Anderson,Green,,,,On track; milestones met.,,,
Patient Engagement,Real‑World Evidence,Generate comparative effectiveness studies,RWE-60 Generate Initiative 60,"In Q1 we will launch the RWE-60 Generate Initiative 60 project in support of the strategic goal to generate comparative effectiveness studies. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Vendor assessments will be completed to decide on any external partnerships needed. Completion of training for all contributors is also targeted within this timeframe.",Achieve 50% of planned experiments for RWE-60 Generate Initiative 60.,Complete data analysis phase of RWE-60 Generate Initiative 60.,Submit year‑end review and next‑year plan for RWE-60 Generate Initiative 60.,Dr. Karen Johnson,James Wilson,Evelyn Anderson,Green,,,,On track; milestones met.,,,
Patient Engagement,Real‑World Evidence,Generate comparative effectiveness studies,RWE-61 Generate Initiative 61,In Q1 we will launch the RWE-61 Generate Initiative 61 project in support of the strategic goal to generate comparative effectiveness studies. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for RWE-61 Generate Initiative 61.,Complete data analysis phase of RWE-61 Generate Initiative 61.,Submit year‑end review and next‑year plan for RWE-61 Generate Initiative 61.,Dr. Karen Johnson,Mason Hernandez,Evelyn Anderson,Green,,,,On track; milestones met.,,,
Patient Engagement,Real‑World Evidence,Integrate EHR data for signal detection,RWE-62 Integrate Initiative 62,"In Q1 we will launch the RWE-62 Integrate Initiative 62 project in support of the strategic goal to integrate ehr data for signal detection. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.",Achieve 50% of planned experiments for RWE-62 Integrate Initiative 62.,Complete data analysis phase of RWE-62 Integrate Initiative 62.,Submit year‑end review and next‑year plan for RWE-62 Integrate Initiative 62.,Dr. Karen Johnson,Elijah Jackson,Sophia Rodriguez,Amber,,,,Minor delays; mitigation plan in place.,,,
Patient Engagement,Real‑World Evidence,Integrate EHR data for signal detection,RWE-63 Integrate Initiative 63,"In Q1 we will launch the RWE-63 Integrate Initiative 63 project in support of the strategic goal to integrate ehr data for signal detection. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.",Achieve 50% of planned experiments for RWE-63 Integrate Initiative 63.,Complete data analysis phase of RWE-63 Integrate Initiative 63.,Submit year‑end review and next‑year plan for RWE-63 Integrate Initiative 63.,Dr. Karen Johnson,Charlotte Williams,Noah Gonzalez,Green,,,,On track; milestones met.,,,
Patient Engagement,Real‑World Evidence,Integrate EHR data for signal detection,RWE-64 Integrate Initiative 64,"In Q1 we will launch the RWE-64 Integrate Initiative 64 project in support of the strategic goal to integrate ehr data for signal detection. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.",Achieve 50% of planned experiments for RWE-64 Integrate Initiative 64.,Complete data analysis phase of RWE-64 Integrate Initiative 64.,Submit year‑end review and next‑year plan for RWE-64 Integrate Initiative 64.,Dr. Karen Johnson,Olivia Miller,Noah Gonzalez,Green,,,,On track; milestones met.,,,
Patient Engagement,Access & Equity,Increase minority patient enrollment,AE-65 Increase Initiative 65,"In Q1 we will launch the AE-65 Increase Initiative 65 project in support of the strategic goal to increase minority patient enrollment. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.",Achieve 50% of planned experiments for AE-65 Increase Initiative 65.,Complete data analysis phase of AE-65 Increase Initiative 65.,Submit year‑end review and next‑year plan for AE-65 Increase Initiative 65.,Dr. David Lee,Liam Gonzalez,Logan Thomas,Green,,,,On track; milestones met.,,,
Patient Engagement,Access & Equity,Increase minority patient enrollment,AE-66 Increase Initiative 66,"In Q1 we will launch the AE-66 Increase Initiative 66 project in support of the strategic goal to increase minority patient enrollment. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.",Achieve 50% of planned experiments for AE-66 Increase Initiative 66.,Complete data analysis phase of AE-66 Increase Initiative 66.,Submit year‑end review and next‑year plan for AE-66 Increase Initiative 66.,Dr. David Lee,Noah Gonzalez,Abigail Garcia,Green,,,,On track; milestones met.,,,
Patient Engagement,Access & Equity,Increase minority patient enrollment,AE-67 Increase Initiative 67,"In Q1 we will launch the AE-67 Increase Initiative 67 project in support of the strategic goal to increase minority patient enrollment. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.",Achieve 50% of planned experiments for AE-67 Increase Initiative 67.,Complete data analysis phase of AE-67 Increase Initiative 67.,Submit year‑end review and next‑year plan for AE-67 Increase Initiative 67.,Dr. David Lee,Harper Thomas,Logan Thomas,Green,,,,On track; milestones met.,,,
Patient Engagement,Access & Equity,Implement financial assistance programs,AE-68 Implement Initiative 68,In Q1 we will launch the AE-68 Implement Initiative 68 project in support of the strategic goal to implement financial assistance programs. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Risks and mitigation strategies will be documented early to ensure the program remains on track.,Achieve 50% of planned experiments for AE-68 Implement Initiative 68.,Complete data analysis phase of AE-68 Implement Initiative 68.,Submit year‑end review and next‑year plan for AE-68 Implement Initiative 68.,Dr. David Lee,Ethan Williams,Liam Garcia,Green,,,,On track; milestones met.,,,
Patient Engagement,Access & Equity,Implement financial assistance programs,AE-69 Implement Initiative 69,"In Q1 we will launch the AE-69 Implement Initiative 69 project in support of the strategic goal to implement financial assistance programs. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. An early engagement with clinical teams will ensure downstream study readiness. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.",Achieve 50% of planned experiments for AE-69 Implement Initiative 69.,Complete data analysis phase of AE-69 Implement Initiative 69.,Submit year‑end review and next‑year plan for AE-69 Implement Initiative 69.,Dr. David Lee,Lucas Rodriguez,Henry Miller,Green,,,,On track; milestones met.,,,
Patient Engagement,Access & Equity,Implement financial assistance programs,AE-70 Implement Initiative 70,"In Q1 we will launch the AE-70 Implement Initiative 70 project in support of the strategic goal to implement financial assistance programs. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Risks and mitigation strategies will be documented early to ensure the program remains on track.",Achieve 50% of planned experiments for AE-70 Implement Initiative 70.,Complete data analysis phase of AE-70 Implement Initiative 70.,Submit year‑end review and next‑year plan for AE-70 Implement Initiative 70.,Dr. David Lee,Ethan Miller,Liam Garcia,Green,,,,On track; milestones met.,,,
