StrategicProgramID,StrategicGoalID,CategoryID,StrategicPillarID,Strategic Program,Q1 Objective,Q2 Objective,Q3 Objective,Q4 Objective,ORD LT Sponsor(s),Sponsor(s)/Lead(s),Reporting owner(s),Q1 Status,Q2 Status,Q3 Status,Q4 Status,Q1 Comments,Q2 Comments,Q3 Comments,Q4 Comments
SP142,SG114,Cat104,SPill101,RA-43 Enhance Initiative 43,In Q1 we will launch the RA-43 Enhance Initiative 43 project in support of the strategic goal to enhance cmc readiness. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for RA-43 Enhance Initiative 43.,Complete data analysis phase of RA-43 Enhance Initiative 43.,Submit year‑end review and next‑year plan for RA-43 Enhance Initiative 43.,Dr. Sophia Hernandez,Green,,,,Manufacturing readiness program requiring workshop-driven scope definition and technical capability assessment. Quality systems and regulatory alignment will guide implementation strategy.,,,
SP143,SG114,Cat104,SPill101,RA-44 Enhance Initiative 44,In Q1 we will launch the RA-44 Enhance Initiative 44 project in support of the strategic goal to enhance cmc readiness. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness.,Achieve 50% of planned experiments for RA-44 Enhance Initiative 44.,Complete data analysis phase of RA-44 Enhance Initiative 44.,Submit year‑end review and next‑year plan for RA-44 Enhance Initiative 44.,Dr. Sophia Hernandez,Green,,,,Comprehensive CMC enhancement initiative requiring dedicated team formation and technical infrastructure development. Manufacturing excellence and regulatory compliance will be critical success factors.,,,
SP144,SG115,Cat105,SPill101,DTI-45 Deploy Initiative 45,In Q1 we will launch the DTI-45 Deploy Initiative 45 project in support of the strategic goal to deploy decentralized trial platform. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Vendor assessments will be completed to decide on any external partnerships needed. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for DTI-45 Deploy Initiative 45.,Complete data analysis phase of DTI-45 Deploy Initiative 45.,Submit year‑end review and next‑year plan for DTI-45 Deploy Initiative 45.,Dr. Wei Zhang,Green,,,,Decentralized trial platform deployment requiring specialized technology expertise and core team formation. Platform integration and user adoption will be key implementation challenges.,,,
SP145,SG115,Cat105,SPill101,DTI-46 Deploy Initiative 46,In Q1 we will launch the DTI-46 Deploy Initiative 46 project in support of the strategic goal to deploy decentralized trial platform. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for DTI-46 Deploy Initiative 46.,Complete data analysis phase of DTI-46 Deploy Initiative 46.,Green,,,,Digital trial platform initiative requiring technical team assembly and technology infrastructure development. Platform scalability and user experience will be essential for successful deployment.,,,
SP146,SG115,Cat105,SPill101,DTI-47 Deploy Initiative 47,In Q1 we will launch the DTI-47 Deploy Initiative 47 project in support of the strategic goal to deploy decentralized trial platform. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. We will set up a dashboard to track milestones and provide transparent real‑time updates. Completion of training for all contributors is also targeted within this timeframe.,Achieve 50% of planned experiments for DTI-47 Deploy Initiative 47.,Complete data analysis phase of DTI-47 Deploy Initiative 47.,Submit year‑end review and next‑year plan for DTI-47 Deploy Initiative 47.,Dr. Wei Zhang,Green,,,,Comprehensive decentralized platform program requiring scientific plan refinement and technology optimization. Operational excellence and patient engagement will be critical success factors.,,,
SP147,SG116,Cat105,SPill101,DTI-48 Leverage Initiative 48,In Q1 we will launch the DTI-48 Leverage Initiative 48 project in support of the strategic goal to leverage wearables for safety monitoring. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. We will set up a dashboard to track milestones and provide transparent real‑time updates. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.,Achieve 50% of planned experiments for DTI-48 Leverage Initiative 48.,Complete data analysis phase of DTI-48 Leverage Initiative 48.,Submit year‑end review and next‑year plan for DTI-48 Leverage Initiative 48.,Dr. Wei Zhang,Green,,,,Wearables integration program requiring scientific plan development and technology validation studies. Data quality and regulatory acceptance will be key implementation considerations.,,,
SP148,SG116,Cat105,SPill101,DTI-49 Leverage Initiative 49,In Q1 we will launch the DTI-49 Leverage Initiative 49 project in support of the strategic goal to leverage wearables for safety monitoring. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Vendor assessments will be completed to decide on any external partnerships needed. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.,Achieve 50% of planned experiments for DTI-49 Leverage Initiative 49.,Complete data analysis phase of DTI-49 Leverage Initiative 49.,Submit year‑end review and next‑year plan for DTI-49 Leverage Initiative 49.,Dr. Wei Zhang,Green,,,,Safety monitoring enhancement initiative using wearable technology requiring technical plan refinement. Data integration and clinical utility validation will be essential for program success.,,,
SP149,SG116,Cat105,SPill101,DTI-50 Leverage Initiative 50,In Q1 we will launch the DTI-50 Leverage Initiative 50 project in support of the strategic goal to leverage wearables for safety monitoring. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.,Achieve 50% of planned experiments for DTI-50 Leverage Initiative 50.,Green,,,,Wearables platform development requiring workshop-based scope definition and technical feasibility assessment. Technology integration and clinical validation will guide implementation strategy.,,,
SP150,SG116,Cat105,SPill101,DTI-51 Leverage Initiative 51,In Q1 we will launch the DTI-51 Leverage Initiative 51 project in support of the strategic goal to leverage wearables for safety monitoring. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.,Achieve 50% of planned experiments for DTI-51 Leverage Initiative 51.,Complete data analysis phase of DTI-51 Leverage Initiative 51.,Submit year‑end review and next‑year plan for DTI-51 Leverage Initiative 51.,Green,,,,Advanced wearables program with comprehensive execution planning and feasibility validation studies. Technical infrastructure and clinical integration will be critical for achieving safety monitoring objectives by quarter close.,,,
SP151,SG117,Cat105,SPill101,DTI-52 Automate Initiative 52,In Q1 we will launch the DTI-52 Automate Initiative 52 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for DTI-52 Automate Initiative 52.,Complete data analysis phase of DTI-52 Automate Initiative 52.,Submit year‑end review and next‑year plan for DTI-52 Automate Initiative 52.,Dr. Wei Zhang,Green,,,,Data capture automation initiative requiring workshop-driven scope definition and process optimization analysis. Technical integration and workflow efficiency will be key success metrics.,,,
SP152,SG117,Cat105,SPill101,DTI-53 Automate Initiative 53,In Q1 we will launch the DTI-53 Automate Initiative 53 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for DTI-53 Automate Initiative 53.,Complete data analysis phase of DTI-53 Automate Initiative 53.,Submit year‑end review and next‑year plan for DTI-53 Automate Initiative 53.,Dr. Wei Zhang,Amber,,,,Workflow automation program requiring structured scope definition and technical infrastructure development. Process standardization and efficiency gains will guide implementation priorities.,,,
SP153,SG117,Cat105,SPill101,DTI-54 Automate Initiative 54,In Q1 we will launch the DTI-54 Automate Initiative 54 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates.,Achieve 50% of planned experiments for DTI-54 Automate Initiative 54.,Complete data analysis phase of DTI-54 Automate Initiative 54.,Submit year‑end review and next‑year plan for DTI-54 Automate Initiative 54.,Dr. Wei Zhang,Amber,,,,Comprehensive data automation initiative requiring workshop-based planning and technology integration strategy. Operational excellence and data quality will be essential for workflow optimization.,,,
SP154,SG117,Cat105,SPill101,DTI-55 Automate Initiative 55,In Q1 we will launch the DTI-55 Automate Initiative 55 project in support of the strategic goal to automate data capture workflows. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates.,Achieve 50% of planned experiments for DTI-55 Automate Initiative 55.,Complete data analysis phase of DTI-55 Automate Initiative 55.,Submit year‑end review and next‑year plan for DTI-55 Automate Initiative 55.,Dr. Wei Zhang,Amber,,,,Advanced automation program requiring scope definition and technical capability assessment. System integration and user adoption will be critical for achieving workflow optimization goals.,,,
SP155,SG118,Cat106,SPill102,RWE-56 Build Initiative 56,In Q1 we will launch the RWE-56 Build Initiative 56 project in support of the strategic goal to build oncology rwe registry. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Vendor assessments will be completed to decide on any external partnerships needed. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for RWE-56 Build Initiative 56.,Complete data analysis phase of RWE-56 Build Initiative 56.,Submit year‑end review and next‑year plan for RWE-56 Build Initiative 56.,Dr. Karen Johnson,Amber,,,,Real-world evidence registry development requiring specialized data management expertise and core team formation. Data governance and patient recruitment will be key success factors.,,,
SP156,SG118,Cat106,SPill102,RWE-57 Build Initiative 57,In Q1 we will launch the RWE-57 Build Initiative 57 project in support of the strategic goal to build oncology rwe registry. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.,Achieve 50% of planned experiments for RWE-57 Build Initiative 57.,Red,,,,Oncology registry initiative focusing on protocol development and data collection standardization. Patient engagement and data quality assurance will be essential for registry success.,,,
SP157,SG118,Cat106,SPill102,RWE-58 Build Initiative 58,In Q1 we will launch the RWE-58 Build Initiative 58 project in support of the strategic goal to build oncology rwe registry. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for RWE-58 Build Initiative 58.,Complete data analysis phase of RWE-58 Build Initiative 58.,Submit year‑end review and next‑year plan for RWE-58 Build Initiative 58.,Dr. Karen Johnson,Amber,,,,Comprehensive RWE registry program requiring protocol standardization and data management infrastructure. Clinical utility and regulatory acceptance will be critical development objectives.,,,
SP158,SG119,Cat106,SPill102,RWE-59 Generate Initiative 59,In Q1 we will launch the RWE-59 Generate Initiative 59 project in support of the strategic goal to generate comparative effectiveness studies. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for RWE-59 Generate Initiative 59.,Complete data analysis phase of RWE-59 Generate Initiative 59.,Submit year‑end review and next‑year plan for RWE-59 Generate Initiative 59.,Dr. Karen Johnson,Noah Thomas,Evelyn Anderson,Amber,,,,Comparative effectiveness research program with comprehensive execution planning and feasibility validation. Study design and data collection protocols will be essential for generating regulatory-grade evidence.,,,
SP159,SG119,Cat106,SPill102,RWE-60 Generate Initiative 60,In Q1 we will launch the RWE-60 Generate Initiative 60 project in support of the strategic goal to generate comparative effectiveness studies. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Vendor assessments will be completed to decide on any external partnerships needed. Completion of training for all contributors is also targeted within this timeframe.,Achieve 50% of planned experiments for RWE-60 Generate Initiative 60.,Complete data analysis phase of RWE-60 Generate Initiative 60.,Submit year‑end review and next‑year plan for RWE-60 Generate Initiative 60.,Dr. Karen Johnson,Amber,,,,Effectiveness studies initiative requiring scientific plan refinement and study design optimization. Data quality and statistical methodology will be key success factors for evidence generation.,,,
SP160,SG119,Cat106,SPill102,RWE-61 Generate Initiative 61,In Q1 we will launch the RWE-61 Generate Initiative 61 project in support of the strategic goal to generate comparative effectiveness studies. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for RWE-61 Generate Initiative 61.,Complete data analysis phase of RWE-61 Generate Initiative 61.,Submit year‑end review and next‑year plan for RWE-61 Generate Initiative 61.,Dr. Karen Johnson,Mason Hernandez,Evelyn Anderson,Amber,,,,Advanced effectiveness research program with comprehensive planning and vendor partnership evaluation. External collaboration and data integration will be critical for study execution success.,,,
SP161,SG120,Cat106,SPill102,RWE-62 Integrate Initiative 62,In Q1 we will launch the RWE-62 Integrate Initiative 62 project in support of the strategic goal to integrate ehr data for signal detection. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for RWE-62 Integrate Initiative 62.,Complete data analysis phase of RWE-62 Integrate Initiative 62.,Submit year‑end review and next‑year plan for RWE-62 Integrate Initiative 62.,Dr. Karen Johnson,Amber,,,,EHR data integration initiative requiring workshop-based scope definition and technical infrastructure development. Data quality and signal detection capabilities will be key implementation priorities.,,,
SP162,SG120,Cat106,SPill102,RWE-63 Integrate Initiative 63,In Q1 we will launch the RWE-63 Integrate Initiative 63 project in support of the strategic goal to integrate ehr data for signal detection. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for RWE-63 Integrate Initiative 63.,Complete data analysis phase of RWE-63 Integrate Initiative 63.,Submit year‑end review and next‑year plan for RWE-63 Integrate Initiative 63.,Dr. Karen Johnson,Amber,,,,Electronic health record integration program focusing on protocol development and data standardization. Technical integration and analytical capabilities will be essential for signal detection success.,,,
SP163,SG120,Cat106,SPill102,RWE-64 Integrate Initiative 64,In Q1 we will launch the RWE-64 Integrate Initiative 64 project in support of the strategic goal to integrate ehr data for signal detection. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for RWE-64 Integrate Initiative 64.,Complete data analysis phase of RWE-64 Integrate Initiative 64.,Amber,,,,Comprehensive EHR integration initiative requiring core team formation and data management strategy. Technical infrastructure and analytical workflows will be critical for detection capabilities.,,,
SP164,SG121,Cat107,SPill102,AE-65 Increase Initiative 65,In Q1 we will launch the AE-65 Increase Initiative 65 project in support of the strategic goal to increase minority patient enrollment. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.,Achieve 50% of planned experiments for AE-65 Increase Initiative 65.,Complete data analysis phase of AE-65 Increase Initiative 65.,Submit year‑end review and next‑year plan for AE-65 Increase Initiative 65.,Dr. David Lee,Green,,,,Minority enrollment enhancement program requiring specialized outreach expertise and core team formation. Community engagement and protocol accessibility will be key success metrics.,,,
SP165,SG121,Cat107,SPill102,AE-66 Increase Initiative 66,In Q1 we will launch the AE-66 Increase Initiative 66 project in support of the strategic goal to increase minority patient enrollment. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.,Achieve 50% of planned experiments for AE-66 Increase Initiative 66.,Green,,,,Patient diversity initiative focusing on protocol development and enrollment strategy optimization. Community partnerships and cultural competency will be essential for achieving enrollment goals.,,,
SP166,SG121,Cat107,SPill102,AE-67 Increase Initiative 67,In Q1 we will launch the AE-67 Increase Initiative 67 project in support of the strategic goal to increase minority patient enrollment. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. We will set up a dashboard to track milestones and provide transparent real‑time updates. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for AE-67 Increase Initiative 67.,Complete data analysis phase of AE-67 Increase Initiative 67.,Submit year‑end review and next‑year plan for AE-67 Increase Initiative 67.,Dr. David Lee,Green,,,,Comprehensive enrollment program requiring workshop-driven scope definition and community engagement strategy. Outreach effectiveness and protocol design will guide implementation approach.,,,
SP167,SG122,Cat107,SPill102,AE-68 Implement Initiative 68,In Q1 we will launch the AE-68 Implement Initiative 68 project in support of the strategic goal to implement financial assistance programs. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Risks and mitigation strategies will be documented early to ensure the program remains on track.,Achieve 50% of planned experiments for AE-68 Implement Initiative 68.,Complete data analysis phase of AE-68 Implement Initiative 68.,Submit year‑end review and next‑year plan for AE-68 Implement Initiative 68.,Dr. David Lee,Ethan Williams,Liam Garcia,Green,,,,Financial assistance program implementation with comprehensive execution planning and risk management strategy. Program accessibility and patient support will be critical for achieving enrollment and retention objectives.,,,
SP168,SG122,Cat107,SPill102,AE-69 Implement Initiative 69,In Q1 we will launch the AE-69 Implement Initiative 69 project in support of the strategic goal to implement financial assistance programs. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. An early engagement with clinical teams will ensure downstream study readiness. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for AE-69 Implement Initiative 69.,Complete data analysis phase of AE-69 Implement Initiative 69.,Red,,,,Patient support initiative requiring scientific plan refinement and program design optimization. Financial modeling and eligibility criteria will be key development considerations.,,,
SP169,SG122,Cat107,SPill102,AE-70 Implement Initiative 70,In Q1 we will launch the AE-70 Implement Initiative 70 project in support of the strategic goal to implement financial assistance programs. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Risks and mitigation strategies will be documented early to ensure the program remains on track.,Achieve 50% of planned experiments for AE-70 Implement Initiative 70.,Complete data analysis phase of AE-70 Implement Initiative 70.,Submit year‑end review and next‑year plan for AE-70 Implement Initiative 70.,Dr. David Lee,Green,,,,Comprehensive assistance program requiring scientific plan optimization and implementation strategy development. Program effectiveness and patient access will be primary success objectives.,,,
